fullcurrname,CAS_SPC
NULL,23791
Pervagor alternans,23792
Acanthaluteres vittiger,23793
Meuschenia scaber,23794
Paratriacanthodes retrospinis,23795
Parahollardia lineata,23796
Paracitharus macrolepis,23798
Paracanthostracion lindsayi,23799
Parabothus polylepis,23800
Pseudotriacanthus strigilifer,23801
NULL,23802
Zebrias regani,23803
NULL,23804
NULL,23805
Synclidopus macleayanus,23806
Synapturichthys kleinii,23807
NULL,23808
Anoplocapros inermis,23809
Zebrias cancellatus,23810
Pseudorhombus ctenosquamis,23811
Torquigener hypselogeneion,23812
Takifugu vermicularis,23813
Paramonacanthus otisensis,23814
Scobinichthys granulatus,23815
Samariscus corallinus,23816
Typhlachirus caecus,23818
Paratriacanthodes herrei,23819
Tetrosomus concatenatus,23820
Brachirus villosus,23821
Torquigener tuberculiferus,23822
NULL,23823
Sphoeroides pachygaster,23824
Thamnaconus arenaceus,23825
Scobinichthys granulatus,23826
Takifugu oblongus,23827
Taeniopsetta radula,23828
Vanstraelenia chirophthalma,23829
Vanstraelenia chirophthalma,23830
Xenobalistes tumidipectoris,23831
Marilyna pleurosticta,23832
Reicheltia halsteadi,23833
Polyplacapros tyleri,23834
Neoachiropsetta milfordi,23835
Taratretis derwentensis,23836
Cantheschenia longipinnis,23838
Colurodontis paxmani,23839
Japonolaeops gracilis,23840
Tosarhombus octoculatus,23842
Cephalopsetta ventrocellata,23843
Mephisto fraserbrunneri,23844
Arnoglossus rueppelii,23845
Chelonodontops pleurospilus,23846
Dagetichthys lakdoensis,23847
Aseraggodes xenicus,23848
Cyclopsetta querna,23849
Mola alexandrini,23850
Tydemania navigatoris,23851
Tarphops oligolepis,23852
Laeops lanceolata,23853
Citharoides macrolepidotus,23854
Psettina iijimae,23855
Caprichthys gymnura,23856
Aluterus schoepfii,23857
Asterorhombus intermedius,23858
Arnoglossus tenuis,23859
Phyllichthys sclerolepis,23860
Sufflamen fraenatum,23861
NULL,23862
Bathysolea lactea,23863
Glyptocephalus kitaharae,23864
Glyptocephalus zachirus,23865
Apionichthys asphyxiatus,23866
Pleuronichthys guttulatus,23867
Lepidopsetta bilineata,23868
Engyprosopon grandisquama,23869
Mola mola,23870
Polyspina piosae,23872
Tylerius spinosissimus,23873
Bathyphylax bombifrons,23874
Trixiphichthys weberi,23877
Omegophora armilla,23879
Takifugu pardalis,23880
Amblypharyngodon mola,23882
Pseudomancopsetta andriashevi,23883
Eubalichthys mosaicus,23884
Cynoglossus lachneri,23885
Symphurus jenynsi,23886
Zebrias maculosus,23887
Cantheschenia grandisquamis,23888
Eubalichthys caeruleoguttatus,23889
Eubalichthys caeruleoguttatus,23890
Eubalichthys quadrispinis,23891
Meuschenia flavolineata,23892
Meuschenia venusta,23893
Rudarius excelsus,23894
Canthigaster marquesensis,23895
Canthigaster ocellicincta,23896
Canthigaster rapaensis,23897
Canthigaster smithae,23898
Canthigaster tyleri,23899
Symphurus ginsburgi,23900
Symphurus kyaropterygium,23901
Zebrias keralensis,23902
Aluterus NULL,23903
Dichotomyctere sabahensis,23905
Melichthys indicus,23906
Sphoeroides georgemilleri,23907
Sphoeroides tyleri,23908
Sphoeroides yergeri,23909
Citharichthys amblybregmatus,23910
Citharichthys abbotti,23911
Rudarius minutus,23913
Cynoglossus nigropinnatus,23914
Cynoglossus itinus,23915
Brachaluteres jacksonianus,23916
Arnoglossus capensis,23917
Engyophrys senta,23918
Laeops natalensis,23919
Trichopsetta caribbaea,23920
Trichopsetta melasma,23921
Hollardia goslinei,23922
Latimeria chalumnae,23925
Latimeria chalumnae,23926
Neoceratodus forsteri,23927
NULL,23928
Neoceratodus forsteri,23929
Protopterus aethiopicus,23930
Protopterus aethiopicus,23931
Protopterus aethiopicus,23932
Protopterus aethiopicus,23933
Protopterus annectens,23934
Protopterus annectens,23935
Protopterus annectens,23937
Protopterus dolloi,23938
Lepidosiren paradoxa,23939
Protopterus annectens,23940
Protopterus amphibius,23941
Gonorynchus abbreviatus,23943
Gonorynchus forsteri,23944
Gonorynchus NULL,23945
Gonorynchus gonorynchus,23947
Gonorynchus greyi,23948
Pseudophoxinus anatolicus,23949
Pseudophoxinus crassus,23950
Pseudophoxinus handlirschi,23951
Pseudophoxinus maeandricus,23952
Acrossocheilus fasciatus,23953
Coptostomabarbus bellcrossi,23954
Tariqilabeo latius,23955
Tariqilabeo diplochilus,23958
Sabanejewia aurata,23959
Sabanejewia aurata,23960
Citharinops distichodoides,23962
Saccodon dariensis,23964
Saccodon dariensis,23965
Creagrutus affinis,23966
Creagrutus beni,23967
Gephyrocharax intermedius,23970
Gephyrocharax intermedius,23972
Mylossoma acanthogaster,23974
Mylossoma aureum,23975
Mylossoma unimaculatum,23976
Mylossoma duriventre,23977
Mylossoma albiscopum,23978
Mylossoma duriventre,23979
Mylossoma aureum,23980
Glyptosternon akhtari,23981
Glyptosternon oschanini,23983
Glyptosternon reticulatum,23984
Trachinotus ovatus,23986
Trachinotus ovatus,23987
Taractichthys longipinnis,23988
Parapristipoma humile,23990
Parapristipoma humile,23991
Parapristipoma humile,23992
Parapristipoma humile,23993
Parapristipoma humile,23994
Parapristipoma trilineatum,23998
Chelidonichthys capensis,23999
Chelidonichthys cuculus,24000
Chelidonichthys cuculus,24001
Chelidonichthys cuculus,24002
Chelidonichthys gabonensis,24003
Eutrigla gurnardus,24004
Eutrigla gurnardus,24005
Chelidonichthys ischyrus,24006
Chelidonichthys kumu,24007
Chelidonichthys lastoviza,24009
Chelidonichthys lastoviza,24010
Chelidonichthys lastoviza,24011
Lepidotrigla cavillone,24012
Chelidonichthys lucerna,24013
Chelidonichthys lucerna,24014
Chelidonichthys lucerna,24015
Chelidonichthys lucerna,24016
Chelidonichthys lucerna,24017
Chelidonichthys lucerna,24018
Chelidonichthys lucerna,24019
Chelidonichthys lucerna,24020
Chelidonichthys lucerna,24021
Chelidonichthys obscurus,24023
Chelidonichthys kumu,24026
Malacocottus gibber,24027
Malacocottus kincaidi,24028
Malacocottus zonurus,24029
Malacocottus zonurus,24030
Paraliparis albeolus,24031
Selene brownii,24033
Paralabrax maculatofasciatus,24034
Paralabrax humeralis,24035
Schizolecis guentheri,24036
Apteronotus rostratus,24037
Trachyrincus longirostris,24038
Trachyrincus murrayi,24039
Trachyrincus scabrus,24040
Monomitopus americanus,24041
Monomitopus conjugator,24042
Monomitopus garmani,24043
Monomitopus kumae,24044
Monomitopus metriostoma,24045
Monomitopus microlepis,24046
Monomitopus pallidus,24047
Monomitopus torvus,24048
Monomitopus vitiazi,24049
Haplophryne mollis,24052
Telmatherina bonti,24058
Macroramphosus scolopax,24061
Notopogon fernandezianus,24062
Macroramphosus gracilis,24063
Macroramphosus NULL,24064
Trachyrhamphus longirostris,24065
Dactyloptena gilberti,24066
Dactyloptena macracantha,24067
Dactyloptena orientalis,24068
Apterichtus caecus,24069
Apterichtus flavicaudus,24070
Apterichtus klazingai,24071
Sardinella aurita,24074
Stegostoma fasciatum,24075
Stegostoma fasciatum,24076
Stegostoma fasciatum,24077
Stegostoma fasciatum,24078
Stegostoma fasciatum,24079
Stegostoma fasciatum,24080
Stegostoma fasciatum,24081
Stegostoma fasciatum,24083
Stegostoma fasciatum,24084
Rhincodon typus,24085
Parmaturus pilosus,24086
Parmaturus xaniurus,24087
Paristiopterus labiosus,24088
Greenwoodochromis bellcrossi,24090
Julidochromis dickfeldi,24092
NULL,24095
Pelmatochromis buettikoferi,24098
Pelvicachromis kribensis,24101
Notoglanidium thomasi,24102
Chrysiptera niger,24106
Chrysiptera notialis,24107
Chrysiptera talboti,24108
Cirrhitichthys aprinus,24109
Krusensterniella maculata,24116
Zoarces elongatus,24117
Askoldia variegata,24118
Bovichtus chilensis,24119
Bovichtus psychrolutes,24120
Bovichtus variegatus,24121
Bovichtus variegatus,24122
Champsocephalus gunnari,24123
Crapatalus angusticeps,24124
Crapatalus novaezelandiae,24125
Crapatalus novaezelandiae,24126
Parapercis colias,24127
Parapercis colias,24128
Tripterygion delaisi,24129
Springerichthys bapturus,24130
Helcogrammoides cunninghami,24132
Tripterygion minor,24136
Tripterygion tripteronotum,24139
Tripterygion tripteronotum,24140
Tripterygion melanurus,24141
Tripterygion delaisi,24142
Ophiclinus antarcticus,24143
Ophiclinus gracilis,24144
Ophiclinops varius,24145
Callionymus beniteguri,24146
Callionymus lunatus,24148
Synchiropus phasis,24151
Valenciennea muralis,24153
Bollmannia boqueronensis,24155
Bollmannia communis,24156
Parosphromenus paludicola,24158
Mastacembelus alboguttatus,24160
Mastacembelus armatus,24161
Mastacembelus armatus,24162
Mastacembelus armatus,24163
Mastacembelus armatus,24164
Mastacembelus armatus,24165
Mastacembelus armatus,24166
Mastacembelus armatus,24167
Mastacembelus undulatus,24168
Mastacembelus armatus,24171
Macrognathus circumcinctus,24174
Macrognathus circumcinctus,24175
Mastacembelus erythrotaenia,24176
Mastacembelus erythrotaenia,24177
Macrognathus guentheri,24178
Macrognathus keithi,24179
Macrognathus maculatus,24181
Macrognathus maculatus,24182
Macrognathus maculatus,24183
Mastacembelus mastacembelus,24184
Mastacembelus mastacembelus,24185
Mastacembelus mastacembelus,24186
Mastacembelus mastacembelus,24187
Mastacembelus mastacembelus,24188
Mastacembelus oatesii,24190
Macrognathus pancalus,24191
Sinobdella sinensis,24192
Sinobdella sinensis,24193
Sinobdella sinensis,24194
Mastacembelus unicolor,24195
Mastacembelus alboguttatus,24196
Macrognathus zebrinus,24197
Hippoglossina stomata,24198
Microstomus kitt,24199
Microstomus kitt,24200
Microstomus kitt,24201
Microchirus NULL,24203
Microchirus hexophthalmus,24204
Cantherhines sandwichiensis,24206
Dichotomyctere nigroviridis,24210
Dichotomyctere ocellatus,24212
Gomphosus caeruleus,24215
Mobula mobular,24216
Sternopygus aequilabiatus,24217
Haplophryne mollis,24219
Linophryne NULL,24220
Haplophryne NULL,24221
Linophryne NULL,24222
Parapercis colias,24223
Conocara salmoneum,24224
NULL,24225
NULL,24226
NULL,24227
NULL,24229
NULL,24230
Odontesthes smitti,24231
Pterodoras granulosus,24232
Aplocheilus armatus,24233
Kurtus indicus,24234
NULL,24235
NULL,24236
Tarsistes philippii,24237
Labiobarbus sabanus,24238
Jaydia smithi,24239
Trachinotus africanus,24241
Pristipomoides freemani,24242
Haplochromis pachycephalus,24243
Haplochromis boops,24244
Haplochromis thuragnathus,24245
Haplochromis pseudopellegrini,24246
Haplochromis paraguiarti,24247
Haplochromis acidens,24248
Haplochromis barbarae,24249
Haplochromis apogonoides,24250
Chromidotilapia schoutedeni,24251
Coptodon deckerti,24252
Nemadactylus vemae,24253
Amphiprion perideraion,24254
Iniistius evides,24255
Iniistius dea,24256
Opistognathus hongkongiensis,24257
Opistognathus gilberti,24258
Parapercis alboguttata,24259
Oxymetopon compressus,24260
Oxymetopon filamentosum,24261
Oxymetopon compressus,24262
Ptereleotris helenae,24263
Ogilbia deroyi,24264
Planiliza luciae,24265
Peristedion greyae,24266
Peristedion unicuspis,24267
Paraploactis hongkongiensis,24268
Laeops pectoralis,24269
Zebrias crossolepis,24270
Paragaleus longicaudatus,24272
Centrophorus granulosus,24273
Etmopterus decacuspidatus,24274
Narcine prodorsalis,24275
Narcine brevilabiata,24276
Narcinops westraliensis,24277
Glaucostegus microphthalmus,24278
Potamotrygon falkneri,24279
Urolophus circularis,24280
Urolophus lobatus,24281
Ipnops meadi,24282
Axelrodia riesei,24283
Pseudochalceus kyburzi,24284
Leptocypris niloticus,24285
Gobio rivuloides,24286
Gobiobotia cheni,24287
Sabanejewia aurata,24288
Hedinichthys minuta,24289
Oxynoemacheilus insignis,24290
Oxynoemacheilus insignis,24291
Silurus burmanensis,24292
Akysis hendricksoni,24293
Synodontis arnoulti,24294
Chlopsis olokun,24295
Muraena robusta,24296
Apterichtus monodi,24297
Bascanichthys longipinnis,24298
Belonion dibranchodon,24299
Callopanchax toddi,24300
Austrolebias viarius,24301
Austrolebias cheradophilus,24302
Austrolebias luteoflammulatus,24303
Siokunichthys bentuviai,24304
Hampala sabana,24305
Myripristis tiki,24306
Myripristis gildi,24308
Cephalopholis sonnerati,24309
Epinephelus tauvina,24310
Mycteroperca cidi,24311
Ogilbyina salvati,24312
Plectranthias winniensis,24313
Siphamia permutata,24314
Trachurus indicus,24315
Stellifer griseus,24316
Parupeneus biaculeatus,24317
Upeneus sulphureus,24318
Calamus mu,24319
Calamus cervigoni,24320
Calamus campechanus,24321
Chaetodontoplus niger,24322
Amphilophus lyonsi,24323
Haplochromis phytophagus,24324
Paretroplus maculatus,24325
Oreochromis shiranus,24326
Oreochromis placidus,24327
Oreochromis mortimeri,24328
Sarotherodon galilaeus,24329
Pristotis obtusirostris,24330
Parapercis punctata,24331
Lepidonotothen squamifrons,24332
Naso minor,24333
Ctenochaetus binotatus,24334
Naso hexacanthus,24335
Coryphopterus venezuelae,24336
Lubricogobius ornatus,24337
Pleurosicya bilobata,24338
Callionymus amboina,24339
Callionymus mortenseni,24340
Callionymus annulatus,24341
Callionymus meridionalis,24342
Draculo shango,24343
Scartella springeri,24344
Emblemariopsis randalli,24345
Dactyloscopus crossotus,24346
Microdesmus carri,24347
Microdesmus suttkusi,24348
Chirostoma riojai,24349
Neocentropogon trimaculatus,24350
Kumococius rodericensis,24351
Cottus dzungaricus,24352
Paraliparis copei,24353
Ancylopsetta antillarum,24354
Ancylopsetta microctenus,24355
Bothus guibei,24356
Zebrias munroi,24357
Bathyphylax omen,24358
Carinotetraodon lorteti,24359
NULL,24360
Sphyrna media,24361
Rostroraja bahamensis,24362
Sinobatis melanosoma,24363
Talismania aphos,24364
Mirorictus taningi,24365
Normichthys yahganorum,24366
Sardinella melanura,24367
Leuroglossus urotranus,24368
Jupiaba anteroides,24369
Brittanichthys myersi,24370
Characidium roesseli,24371
Elachocharax pulcher,24372
Hemigrammus pretoensis,24373
Hyphessobrycon tukunai,24374
Moenkhausia agnesae,24375
Poecilocharax weitzmani,24376
Tyttocharax cochui,24377
Acheilognathus polylepis,24378
Anabarilius macrolepis,24379
Ancherythroculter nigrocauda,24380
Opsaridium leleupi,24381
Barilius barila,24382
Gobio NULL,24383
Gobiobotia nicholsi,24384
Hemiculter tchangi,24385
Telestes montenigrinus,24386
Parabramis pekinensis,24387
Schizothorax meridionalis,24388
Schizothorax myzostomus,24389
Schizopyge nukiangensis,24390
Schizopyge lissolabiata,24391
Schizothorax parvus,24392
Schizopyge lantsangensis,24393
Schizopyge gongshanensis,24394
Schizothorax yunnanensis,24395
Sinibrama macrops,24396
Squalidus atromaculatus,24397
Squalidus gracilis,24398
Garra shoemakeri,24399
Opsariichthys macrolepis,24400
Parabotia banarescui,24401
Diplomystes cuyanus,24402
Chrysichthys longidorsalis,24403
Notoglanidium boutchangai,24404
Pareutropius buffei,24405
Clariallabes platyprosopos,24406
Chiloglanis microps,24407
Synodontis punctifer,24408
Synodontis bastiani,24409
Farlowella venezuelensis,24410
Gymnothorax prasinus,24411
Neoconger tuberculatus,24412
Nematabramis borneensis,24413
Bathymyrus simus,24414
Scriptaphyosemion bertholdi,24415
Epiplatys dageti,24416
Hypsopanchax jubbi,24417
Hypsopanchax jobaerti,24418
Lucania interioris,24419
Cosmocampus profundus,24420
Syngnathus floridae,24421
Bryx randalli,24422
Epinephelus malabaricus,24423
NULL,24424
Jaydia hungi,24425
Florenciella lugubris,24426
Nectamia fusca,24427
Rosenblattia robusta,24428
Lutjanus adetii,24429
Lethrinus laticaudis,24432
Diplodus bermudensis,24433
Apistogramma hoignei,24434
Haplochromis brauschi,24435
Tilapia ruweti,24436
Sarotherodon mvogoi,24437
Sarotherodon tournieri,24438
Stegastes luteobrunneus,24439
Pavoclinus litorafontis,24440
Starksia y-lineata,24441
Chaenopsis resh,24442
Chaenopsis stephensi,24443
Hypoatherina klunzingeri,24444
Atherion africanum,24445
Poblana ferdebueni,24446
Cheroscorpaena tridactyla,24447
Idiastion kyphos,24448
Iracundus signifer,24449
Phenacoscorpius nebris,24450
Pontinus helena,24451
Scorpaena petricola,24452
Scorpaena melasma,24453
Scorpaena brachyptera,24454
Scorpaena elachys,24455
Bellator ribeiroi,24456
Crystallichthys cameliae,24457
Arnoglossus imperialis,24458
Laeops kitaharae,24459
NULL,24460
Brachirus annularis,24461
Triacanthodes ethiops,24462
Acanthostracion quadricornis,24463
Batrachoides manglae,24464
Sanopus astrifer,24465
Halieutaea indica,24466
Halieutaea hancocki,24467
Paragunnellichthys fehlmanni,24468
Paragunnellichthys springeri,24469
Rhizoprionodon oligolinx,24471
Isistius plutodus,24472
Cruriraja parcomaculata,24473
Rostroraja cervigoni,24474
Dipturus pullopunctatus,24475
Potamotrygon motoro,24476
Myliobatis longirostris,24477
Ichthyococcus polli,24478
Stomias lampropeltis,24479
Parvilux boschmai,24480
Lestidium NULL,24481
Astyanax kennedyi,24482
Psalidodon schubarti,24483
Hemibrycon loisae,24484
Cheirodon luelingi,24485
Creagrutus cochui,24486
Curimatopsis evelynae,24487
Jupiaba minor,24488
Gymnocorymbus bondi,24489
Hemibrycon surinamensis,24490
Hemigrammus luelingi,24491
Hyphessobrycon cachimbensis,24492
Hyphessobrycon saizi,24493
Hyphessobrycon takasei,24494
Hyphessobrycon tenuis,24495
Hyphessobrycon gracilior,24496
Moenkhausia eigenmanni,24497
Moenkhausia newtoni,24498
Moenkhausia robertsi,24499
Moenkhausia takasei,24500
Parapristella georgiae,24501
Hemiodus vorderwinkleri,24502
Hemiodus huraulti,24503
Hemiodus sterni,24504
Laemolyta fernandezi,24505
Acheilognathus gracilis,24506
Algansea barbata,24507
Algansea tincella,24508
Schizopygopsis waddellii,24509
Schizopygopsis waddellii,24510
Schizopygopsis chui,24511
Schizopygopsis waddellii,24512
Schizopygopsis younghusbandi,24513
Schizopygopsis younghusbandi,24514
Oxynoemacheilus euphraticus,24515
Oxynoemacheilus argyrogramma,24516
Hemibagrus maydelli,24517
Irvineia orientalis,24518
Clarias angolensis,24519
Phenacorhamdia tenebrosa,24520
Pimelodella boschmai,24521
Pimelodella figueroai,24522
Pimelodella chaparae,24523
Pimelodella boschmai,24524
Pimelodus garciabarrigai,24525
Leptorhamdia schultzi,24526
Rhamdia quelen,24527
Anarchias allardicei,24528
NULL,24529
NULL,24530
Bathycongrus trilineatus,24531
Bathycongrus NULL,24532
Bathyuroconger vicinus,24533
Yirrkala maculata,24534
Histiobranchus bruuni,24535
Hemiramphus convexus,24536
Chapalichthys pardalis,24537
Chapalichthys pardalis,24538
Aplocheilus armatus,24539
Plataplochilus chalcopyrus,24540
Plataplochilus miltotaenia,24541
Hippocampus zebra,24542
Epinephelus posteli,24543
Neamia octospina,24544
Ostorhinchus properuptus,24545
Siphamia mossambica,24546
Johnius belangerii,24547
Argyrosomus amoyensis,24548
Larimichthys pamoides,24549
Mulloidichthys flavolineatus,24550
Diplodus bellottii,24551
Diplodus prayensis,24552
Diplodus lineatus,24553
Pempheris xanthoptera,24554
Haplochromis bakongo,24555
Orthochromis torrenticola,24556
Serranocirrhitus latus,24557
Serranochromis stappersi,24558
Serranochromis spei,24559
Serranochromis janus,24560
Oreochromis upembae,24561
Pomacentrus milleri,24562
Stegastes gascoynei,24563
Stegastes fasciolatus,24564
Pomacentrus imitator,24565
Champsodon atridorsalis,24566
Eleotris fasciata,24567
Amblygobius semicinctus,24568
Lythrypnus okapia,24569
Oxyurichthys NULL,24570
Norfolkia thomasi,24571
Ceratobregma acanthops,24572
Chirostoma melanoccus,24573
Chirostoma reseratum,24574
Chirostoma humboldtianum,24575
Atherinomorus lacunosus,24576
Neomerinthe folgori,24577
Neoscorpaena nielseni,24578
Sebastes phillipsi,24579
Pterygotrigla tagala,24580
Inimicus sinensis,24581
Cottus petiti,24582
Cottus hispaniolensis,24583
Notoliparis kermadecensis,24584
Tosarhombus smithi,24585
Cantherhines rapanui,24586
Lophiomus setigerus,24587
Antennarius striatus,24588
Halieutaea indica,24589
Rakthamichthys indicus,24590
Paracrossochilus acerus,24591
Discherodontus somphongsi,24592
Pangio mariarum,24593
Pseudocarcharias kamoharai,24594
Mustelus higmani,24595
Theriodes sandakanensis,24596
Paragaleus tengi,24597
Protomyzon aphelocheilus,24598
Tetronarce tremens,24599
Jenkinsia majua,24600
Jenkinsia majua,24601
Copella vilmae,24602
NULL,24603
Magnisudis prionosa,24604
Stemonosudis bullisi,24605
Hemigrammus vorderwinkleri,24607
Hemigrammus schmardae,24608
Paracheirodon simulans,24609
Hyphessobrycon tropis,24610
Danio rerio,24611
Schizopygopsis przewalskii,24612
Schizopygopsis przewalskii,24613
Systomus sarana,24614
Triplophysa bellibarus,24615
Amphilius platychir,24616
Phractura clauseni,24617
Chiloglanis benuensis,24618
Chiloglanis voltae,24619
Microsynodontis lamberti,24620
Synodontis macrops,24621
Zaireichthys camerunensis,24622
Xyliphius lepturus,24623
Xyliphius melanopterus,24624
NULL,24625
Anguilla NULL,24626
NULL,24627
NULL,24628
Muraena NULL,24629
Phaenomonas longissima,24630
Hemiramphus bermudensis,24631
Gambusia krumholzi,24632
Phallichthys tico,24633
Xiphophorus gordoni,24634
Fundulopanchax gardneri,24635
Fundulopanchax cinnamomeus,24636
Centromochlus schultzi,24637
Aphyosemion elberti,24638
Pantanodon madagascariensis,24639
Acentronura mossambica,24640
Siokunichthys breviceps,24641
Syngnathus watermeyeri,24642
Sargocentron wilhelmi,24643
Scopelogadus unispinis,24644
Liopropoma carmabi,24645
Hyporthodus octofasciatus,24646
Epapterus dispilurus,24647
Epinephelus magniscuttis,24648
Epinephelus magniscuttis,24649
Epinephelus miliaris,24650
Epinephelus spilotoceps,24651
Gramma melacara,24652
Lipogramma trilineata,24653
Lipogramma klayi,24654
Caesio teres,24655
Pterocaesio capricornis,24656
Parupeneus seychellensis,24657
Spicara altum,24658
Centropyge eibli,24659
Holacanthus limbaughi,24660
Protomelas taeniolatus,24661
Cirrhitichthys falco,24662
Cirrhitichthys falco,24663
Paracirrhites forsteri,24664
Paracirrhites xanthus,24665
Paracirrhites nisus,24666
Paracirrhites bicolor,24667
Xyrichtys blanchardi,24668
Gobitrichinotus arnoulti,24669
Gymnodraco acuticeps,24670
Acentrogobius therezieni,24671
Cryptopsilotris batrachodes,24672
Psilotris celsa,24673
Callionymus delicatulus,24674
Callionymus filamentosus,24675
Diplogrammus infulatus,24676
Synchiropus postulus,24677
Draconetta xenica,24678
Cirripectes alboapicalis,24679
Coralliozetus rosenblatti,24680
Emblemaria walkeri,24681
Cirriemblemaria lucasana,24682
Cataetyx bruuni,24683
Psenes cyanophrys,24684
Odontesthes brevianalis,24685
Cottus echinatus,24686
Cottus extensus,24687
Cottus confusus,24688
Cottus pitensis,24689
Etropus delsmani,24690
NULL,24691
Cantherhines rapanui,24692
Porichthys pauciradiatus,24693
Torpedo andersoni,24694
Cruriraja cadenati,24695
Dipturus bullisi,24696
Dipturus teevani,24697
Rajella purpuriventralis,24698
Springeria longirostris,24699
Lycengraulis grossidens,24701
Glanidium catharinensis,24702
Oligosarcus jenynsii,24703
Leptocypris guineensis,24704
Pangasius pangasius,24705
Chiloglanis sardinhai,24706
Synodontis polli,24707
Synodontis petricola,24708
Synodontis irsacae,24709
Synodontis serpentis,24710
Synodontis waterloti,24711
Synodontis tourei,24712
Ernstichthys megistus,24713
Xyliphius barbatus,24714
Astroblepus pholeter,24715
Anarchias allardicei,24716
Uropterygius concolor,24717
Anarchias seychellensis,24718
Gymnothorax favagineus,24719
Gymnothorax phasmatodes,24720
Gymnothorax chilospilus,24721
Gymnothorax johnsoni,24722
Uropterygius alboguttatus,24723
Paraconger guianensis,24724
Paraconger notialis,24725
Paraconger californiensis,24726
Gorgasia sillneri,24727
Xestochilus nebulosus,24728
Cirrhimuraena inhacae,24729
Cheilopogon suttoni,24730
Rhexipanchax lamberti,24731
Rhexipanchax kabae,24732
Anablepsoides limoncochae,24733
Ostichthys kaianus,24734
Melamphaes acanthomus,24735
Melamphaes leprus,24736
Melamphaes laeviceps,24737
Melamphaes parvus,24738
Melamphaes janae,24739
Melamphaes indicus,24740
Melamphaes hubbsi,24741
Melamphaes danae,24742
Melamphaes pumilus,24743
Apistogramma bitaeniata,24745
Epinephelus retouti,24746
Bathyclupea schroederi,24747
Scolopsis taenioptera,24748
Plectorhinchus lineatus,24749
Stellifer mancorensis,24750
Lethrinus miniatus,24751
Amamiichthys matsubarai,24752
Lithognathus aureti,24753
Pagrus africanus,24754
Ostorhinchus flagelliferus,24755
Haplochromis brownae,24756
Haplochromis nyanzae,24757
Haplochromis bartoni,24758
Haplochromis artaxerxes,24759
Haplochromis mandibularis,24760
Ophthalmotilapia nasuta,24761
Ophthalmotilapia heterodonta,24762
Chromidotilapia guntheri,24763
Sarotherodon steinbachi,24764
Coptodon rheophilus,24765
Sarotherodon occidentalis,24766
Gomphosus klunzingeri,24767
Gobius scorteccii,24768
Auchenionchus microcirrhis,24769
Auchenionchus microcirrhis,24770
Auchenionchus variolosus,24771
Dactyloscopus amnis,24772
Trichopsis schalleri,24773
Atherinella blackburni,24774
Centropogon latifrons,24775
Scorpaenodes arenai,24776
Scorpaenopsis cotticeps,24777
Bellator gymnostethus,24778
Halieutopsis simula,24779
Mastacembelus micropectus,24780
Mastacembelus flavidus,24781
Mastacembelus plagiostomus,24782
Mastacembelus zebratus,24783
Mastacembelus platysoma,24784
Ophisternon candidum,24785
Negaprion acutidens,24786
Carcharhinus altimus,24787
Carcharhinus obscurus,24788
Carcharhinus longimanus,24789
Bathyraja longicauda,24790
Hydrolagus macrophthalmus,24791
Alepocephalus melas,24792
Engraulis encrasicolus,24793
Ramnogaster melanostoma,24794
Diaphus luetkeni,24795
Gyrinomimus parri,24796
Brycon medemi,24797
Brycon meeki,24798
Hemibrycon multiradiatus,24799
Characidium sanctjohanni,24800
Creagrutus nigrostigmatus,24801
Hemibrycon carrilloi,24802
Hemigrammus haraldi,24803
Hyphessobrycon herbertaxelrodi,24804
Hyphessobrycon stegemanni,24805
Knodus savannensis,24806
Hyphessobrycon sweglesi,24807
Parastremma pulchrum,24808
Parastremma album,24809
Parodon guyanensis,24810
Anostomus longus,24811
Leptocypris niloticus,24812
Chelaethiops bibie,24813
Gobio insuyanus,24814
Gobio gymnostethus,24815
Ladigesocypris mermere,24816
Gastromyzon punctulatus,24817
Gastromyzon fasciatus,24818
Neogastromyzon pauciradiatus,24819
Silurus biwaensis,24820
Silurus lithophilus,24821
Parauchenoglanis monkei,24822
Pareutropius buffei,24823
Bathyclarias nyasensis,24824
Bathyclarias atribranchus,24825
Cetopsis baudoensis,24826
Astroblepus rengifoi,24827
Gymnothorax nasuta,24828
Coloconger cadenati,24829
Bascanichthys deraniyagalai,24830
Pisodonophis cancrivorus,24831
Cheilopogon rapanouiensis,24832
Cheilopogon intermedius,24833
Poropanchax luxophthalmus,24835
Hoplostethus fragilis,24836
Pseudanthias cooperi,24837
Serranus maytagi,24838
Apogon talboti,24839
Apogonichthyoides timorensis,24840
Apogonichthyoides enigmaticus,24841
Taeniamia mozambiquensis,24842
Cheilodipterus artus,24843
Cheilodipterus artus,24844
Epigonus crassicaudus,24845
Ostorhinchus holotaenia,24846
Uraspis secunda,24847
Uraspis secunda,24848
Callaus deliciosa,24849
Gymnocranius grandoculis,24850
Lethrinus obsoletus,24851
Lethrinus conchyliatus,24852
Gymnocranius euanus,24853
Forcipiger longirostris,24854
Forcipiger cyrano,24855
Apistogramma bitaeniata,24856
Chetia flaviventris,24857
Chocoheros microlepis,24858
Chrysiptera rollandi,24859
Iniistius bimaculatus,24860
Pseudocheilinus tetrataenia,24861
Stethojulis bandanensis,24862
Opistognathus annulatus,24863
Chionodraco myersi,24864
Prionurus biafraensis,24865
Kribia nana,24866
Typhleotris pauliani,24867
Drombus simulus,24868
Caffrogobius saldanha,24869
